gc-type-code,gc-name,gc-type-code,gc-merchant-code,gc-validity-days,gc-category,gc-reloadable,gc-funds-expire
G-0001,Happy Student Gift Card,Semi Closed Loop,M-0001,180,In-Store,FALSE,FALSE
G-0002,Adidas Gift Card,Closed Loop,M-0002,180,Clothing,FALSE,FALSE
G-0003,Staples Gift Card,Closed Loop,M-0003,180,In-Store,FALSE,FALSE
G-0004,Starbucks Gift Card,Closed Loop,M-0004,180,Dining,FALSE,FALSE
G-0005,Subway Gift Card,Closed Loop,M-0005,180,Dining,FALSE,FALSE
G-0006,Panera Bread Gift Card,Closed Loop,M-0006,180,Dining,FALSE,FALSE
G-0007,Wayfair Gift Card,Closed Loop,M-0007,180,Home Improvement,FALSE,FALSE
G-0008,HM,Closed Loop,M-0008,180,Clothing,FALSE,FALSE
G-0009,Wolfermans Gift Card,Semi Closed Loop,M-0009,180,Specialty Retailer,FALSE,FALSE
G-0010,The Pop Corn Factory Gift Card,Semi Closed Loop,M-0010,180,Specialty Retailer,FALSE,FALSE
G-0011,Sunglass Hut Gift Card,Closed Loop,M-0011,180,Specialty Retailer,FALSE,FALSE
G-0012,Unleashed Gift Card,Closed Loop,M-0012,180,Specialty Retailer,FALSE,FALSE
G-0013,The Container Store Gift Card,Closed Loop,M-0013,180,Specialty Retailer,FALSE,FALSE
G-0014,Michaels Gift Card,Closed Loop,M-0014,180,Specialty Retailer,FALSE,FALSE
G-0015,Boxlunch Gift Card,Closed Loop,M-0015,180,Clothing,FALSE,FALSE
G-0016,Stitch Fix Gift Card,Closed Loop,M-0016,180,Clothing,FALSE,FALSE
G-0017,Old Navy GiftCard,Semi Closed Loop,M-0017,180,Clothing,FALSE,FALSE
G-0018,Lids Gift Card,Closed Loop,M-0018,180,Clothing,FALSE,FALSE
G-0019,Pacsun Gift card,Closed Loop,M-0019,180,Clothing,FALSE,FALSE
G-0020,Holister Gift Card,Closed Loop,M-0020,180,Clothing,FALSE,FALSE
G-0021,GAP Gift Card,Closed Loop,M-0017,180,Clothing,FALSE,FALSE
G-0022,Guess Gift Card,Closed Loop,M-0022,180,Clothing,FALSE,FALSE
G-0023,GAP options Gift Card,Semi Closed Loop,M-0017,180,Clothing,FALSE,FALSE
G-0024,DSW Designer Shoes Warehouse Gift Card,Closed Loop,M-0024,180,Clothing,FALSE,FALSE
G-0025,Baby GAP Gift Card,Semi Closed Loop,M-0017,180,Clothing,FALSE,FALSE
G-0026,Finish Line Gift Card,Closed Loop,M-0026,180,Clothing,FALSE,FALSE
G-0027,eBay Gift Card,Closed Loop,M-0027,180,Home Improvement,FALSE,FALSE
G-0028,Kohls Gift Card,Closed Loop,M-0028,180,Department Store,FALSE,FALSE
G-0029,Macys Gift Card,Closed Loop,M-0029,180,Department Store,FALSE,FALSE
G-0030,Saks Fifth Avenue Gift Card,Closed Loop,M-0030,180,Clothing,FALSE,FALSE
G-0031,Belk Gift Card,Closed Loop,M-0031,180,Department Store,FALSE,FALSE
G-0032,Bass Pro Shops Gift Card,Closed Loop,M-0032,180,Clothing,FALSE,FALSE
G-0033,Bed Bath and Beyond Gift Card,Closed Loop,M-0033,180,Home Improvement,FALSE,FALSE
G-0034,Music Notes Visa Gift Card,Open Loop,M-0001,180,Entertainment,FALSE,FALSE
G-0035,Paparazzi Visa Gift Card,Open Loop,M-0001,180,Entertainment,FALSE,FALSE
G-0036,Musical Manuscript Visa Gift Card,Open Loop,M-0001,180,Entertainment,FALSE,FALSE
G-0037,Steering Wheel Visa Gift Card,Open Loop,M-0001,180,Automotive,FALSE,FALSE
G-0038,Green Fuel Visa Gift Card,Open Loop,M-0001,180,Automotive,FALSE,FALSE
G-0039,Cool Motor Bike Visa Gift Card,Open Loop,M-0001,180,Automotive,FALSE,FALSE
G-0040,Blue Car Visa Gift Card,Open Loop,M-0001,180,Automotive,FALSE,FALSE
G-0041,Wrench Visa Gift Card,Open Loop,M-0001,180,Automotive,FALSE,FALSE
G-0042,Checkered Flag Visa Gift Card,Open Loop,M-0001,180,Automotive,FALSE,FALSE
G-0043,USB Visa Gift Card,Open Loop,M-0001,180,Electronics,FALSE,FALSE
G-0044,Digital Global Visa Gift Cad,Open Loop,M-0001,180,Electronics,FALSE,FALSE
G-0045,Computer Chip Visa Gift Card,Open Loop,M-0001,180,Electronics,FALSE,FALSE
G-0046,Microsoft Xbox Game Pass Ultimate Gift Card,Closed Loop,M-0046,180,Automotive,FALSE,FALSE
G-0047,Audible Gift Card,Closed Loop,M-0047,180,Automotive,FALSE,FALSE
G-0048,Karma Koin Gift Card,Closed Loop,M-0048,180,Automotive,FALSE,FALSE
G-0049,ThinkGeek Gift Card ,Closed Loop,M-0049,180,Automotive,FALSE,FALSE
G-0050,App Store and iTunes,Closed Loop,M-0050,180,Music,FALSE,FALSE
